Cond,Finger,PId,Phone,TouchedArea
walking,Index,21,s4,13
seated,Little,21,n6,17
walking,Ring,21,opo,17
seated,Thumb,21,s4,404
seated,Index,21,n6,10
walking,Ring,21,s4,17
walking,Ring,21,s3,33
walking,Middle,21,n6,43
seated,Thumb,21,opo,93
walking,Middle,21,s3,24
walking,Little,21,s3,34
seated,Middle,21,n6,54
seated,Middle,21,s3,3
walking,Index,21,opo,1
seated,Ring,21,n6,29
seated,Index,21,s4,53
walking,Middle,21,opo,27
seated,Ring,21,s3,1
walking,Little,21,s4,21
seated,Thumb,21,n6,249
seated,Little,21,s3,13
walking,Thumb,21,opo,219
seated,Middle,21,opo,20
seated,Middle,21,s4,36
walking,Thumb,21,n6,193
seated,Index,21,opo,0
walking,Ring,21,n6,74
seated,Little,21,s4,7
walking,Thumb,21,s4,209
seated,Ring,21,s4,22
walking,Little,21,opo,36
walking,Index,21,s3,15
seated,Index,21,s3,4
walking,Index,21,n6,56
walking,Little,21,n6,98
seated,Little,21,opo,2
seated,Thumb,21,s3,449
walking,Middle,21,s4,21
walking,Thumb,21,s3,190
seated,Ring,21,opo,0
